Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.1-192.168.10.3-53-62056-17,192.168.10.3,62056,192.168.10.1,53,17,07/07/2017 03:54:00,274602,1,1,43,106,43,43,43.0,0.0,106,106,106.0,0.0,542.603477,7.283268148,274602.0,0.0,274602,274602,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,3.641634074,3.641634074,43,106,64.0,36.37306696,1323.0,0,0,0,0,0,0,0,0,1,96.0,43.0,106.0,32,0,0,0,0,0,0,1,43,1,106,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.50-389-42542-6,192.168.10.50,42542,192.168.10.3,389,6,07/07/2017 03:54:00,167,3,2,114,12,57,0,38.0,32.90896534,6,6,6.0,0.0,754491.018,29940.11976,41.75,28.83718664,69,1,167,83.5,50.20458146,119,48,49,49.0,0.0,49,49,1,0,0,0,96,40,17964.07186,11976.0479,0,57,30.5,29.11185326,847.5,0,1,0,0,1,0,0,0,0,36.6,38.0,6.0,96,0,0,0,0,0,0,3,114,2,12,1444,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.217.11.46-192.168.10.12-443-49248-6,192.168.10.12,49248,172.217.11.46,443,6,07/07/2017 03:54:00,4598419,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,36.75176186,1.304796279,919683.8,2035707.843,4561156,49,4598419,1149604.75,2274434.49,4561156,49,0,0.0,0.0,0,0,1,0,0,0,160,32,1.087330232,0.217466046,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,316,349,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-104.19.196.102-58513-443-6,192.168.10.15,58513,104.19.196.102,443,6,07/07/2017 03:54:00,4662076,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.82390592,1.286980307,932415.2,2034047.78,4570886,4,4662076,1165519.0,2270399.973,4570886,4,0,0.0,0.0,0,0,1,0,0,0,100,20,1.072483589,0.214496718,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,256,33,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
157.240.18.19-192.168.10.15-443-58439-6,192.168.10.15,58439,157.240.18.19,443,6,07/07/2017 03:54:03,4646441,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.95454607,1.291310919,929288.2,2023973.14,4549707,3,4646441,1161610.25,2259052.915,4549707,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.076092433,0.215218487,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,161,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.217.10.238-192.168.10.15-443-58479-6,192.168.10.15,58479,172.217.10.238,443,6,07/07/2017 03:54:06,4646582,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.953364,1.291271735,929316.4,2023428.897,4548762,48,4646582,1161645.5,2258406.432,4548762,48,0,0.0,0.0,0,0,1,0,0,0,100,20,1.076059779,0.215211956,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,368,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-61449-17,192.168.10.3,61449,192.168.10.1,53,17,07/07/2017 03:54:08,60484,1,1,55,111,55,55,55.0,0.0,111,111,111.0,0.0,2744.527478,33.06659612,60484.0,0.0,60484,60484,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.53329806,16.53329806,55,111,73.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,110.5,55.0,111.0,32,0,0,0,0,0,0,1,55,1,111,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.217.11.38-192.168.10.15-443-58544-6,192.168.10.15,58544,172.217.11.38,443,6,07/07/2017 03:54:09,61195428,10,12,574,518,183,6,57.4,68.83022592,80,6,43.16666667,30.5965932,17.84447034,0.359503981,2914068.0,12800000.0,58900000,1,61100000,6790959.667,19600000.0,58900000,100,61200000,5559860.273,17700000.0,59000000,1,1,0,0,0,200,240,0.163410901,0.196093081,6,183,49.47826087,49.56801532,2456.988142,0,1,0,0,1,0,0,0,1,51.72727273,57.4,43.16666667,200,0,0,0,0,0,0,10,574,12,518,255,435,9,20,86776.0,0.0,86776,86776,58900000.0,0.0,58900000,58900000,BENIGN
172.217.12.131-192.168.10.15-443-58526-6,192.168.10.15,58526,172.217.12.131,443,6,07/07/2017 03:54:13,4655547,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.87835307,1.288785185,931109.4,2021861.103,4547769,3,4655547,1163886.75,2256223.904,4547769,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.073987654,0.214797531,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,254,360,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.217.12.161-192.168.10.15-443-58466-6,192.168.10.15,58466,172.217.12.161,443,6,07/07/2017 03:54:16,3,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,6000000.0,1000000.0,1.5,2.121320344,3,0,0,0.0,0.0,0,0,3,3.0,0.0,3,3,0,0,0,0,20,40,333333.3333,666666.6667,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,2,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,258,360,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
