Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,campaign_id,timestamp,dataset
172.217.10.110-192.168.10.8-80-53993-6,192.168.10.8,53993.0,172.217.10.110,80.0,6.0,6/7/2017 2:22,9.011123e+07,9.0,6.0,1066.0,3042.0,261.0,0.0,118.44444,134.78049,759.0,0.0,507.0,390.40134,45.588104,0.16646095,6.4365165e+06,2.38e+07,8.91e+07,26.0,9.01e+07,1.13e+07,3.14e+07,8.91e+07,37.0,798224.0,159644.8,189496.33,478319.0,1139.0,0.0,0.0,0.0,0.0,192.0,132.0,0.09987657,0.06658438,0.0,759.0,256.75,318.4566,101414.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,273.86667,118.44444,507.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1066.0,6.0,3042.0,8192.0,368.0,8.0,20.0,1.035682e+06,0.0,1.035682e+06,1.035682e+06,8.91e+07,0.0,8.91e+07,8.91e+07,BENIGN,cicids2017-thursday,2017-07-06 14:22:00+00:00,cicids2017
162.125.18.133-192.168.10.8-443-53960-6,192.168.10.8,53960.0,162.125.18.133,443.0,6.0,6/7/2017 2:23,1.19994424e+08,41.0,21.0,2450.0,1376.0,352.0,6.0,59.756096,94.0959,257.0,42.0,65.52381,63.673088,31.884815,0.5166907,1.9671218e+06,4.2777915e+06,2.95e+07,20.0,1.2e+08,2.9991462e+06,4.9986625e+06,2.95e+07,20.0,1.2e+08,5.997647e+06,5.9170285e+06,2.98e+07,33713.0,1.0,0.0,0.0,0.0,820.0,420.0,0.34168255,0.17500813,6.0,352.0,64.79365,87.331245,7626.747,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.83871,59.756096,65.52381,820.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2450.0,21.0,1376.0,76.0,82.0,40.0,20.0,2.3317862e+06,5.7851235e+06,2.04e+07,216609.0,7.665368e+06,6.8893315e+06,2.95e+07,5.226209e+06,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
192.168.10.3-192.168.10.8-137-137-17,192.168.10.8,137.0,192.168.10.3,137.0,17.0,6/7/2017 2:23,7.817612e+07,44.0,44.0,2308.0,2500.0,68.0,50.0,52.454544,6.248552,62.0,56.0,56.81818,2.0828505,61.50216,1.1256635,898576.06,3.9104565e+06,3.57e+07,2.0,7.82e+07,1.8180454e+06,5.440639e+06,3.57e+07,3.0,7.82e+07,1.818045e+06,5.4406465e+06,3.57e+07,2.0,0.0,0.0,0.0,0.0,1208.0,1208.0,0.56283176,0.56283176,50.0,68.0,54.58427,5.1186137,26.200205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.204544,52.454544,56.81818,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,2308.0,44.0,2500.0,-1.0,-1.0,43.0,20.0,4.24e+07,0.0,4.24e+07,4.24e+07,3.57e+07,0.0,3.57e+07,3.57e+07,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
192.168.10.255-192.168.10.8-137-137-17,192.168.10.8,137.0,192.168.10.255,137.0,17.0,6/7/2017 2:23,7.966598e+07,741.0,0.0,37050.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,465.06674,9.301334,107656.74,1.277103e+06,3.42e+07,1.0,7.97e+07,107656.74,1.277103e+06,3.42e+07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21268.0,0.0,9.301334,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.06748,50.0,0.0,21268.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,37050.0,0.0,0.0,-1.0,-1.0,740.0,20.0,4.4e+07,0.0,4.4e+07,4.4e+07,3.42e+07,0.0,3.42e+07,3.42e+07,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
184.50.238.233-192.168.10.8-80-54004-6,192.168.10.8,54004.0,184.50.238.233,80.0,6.0,6/7/2017 2:23,1.1545413e+08,16.0,14.0,376.0,390.0,292.0,0.0,23.5,71.61564,384.0,0.0,27.857143,102.51743,6.6346693,0.25984344,3.981177e+06,4.8581665e+06,9.998312e+06,98.0,1.15e+08,7.696942e+06,4.1305332e+06,1e+07,33426.0,1.1e+08,8.49365e+06,3.750771e+06,1e+07,226.0,0.0,0.0,0.0,0.0,332.0,424.0,0.13858317,0.12126028,0.0,384.0,24.709677,84.52463,7144.413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.533333,23.5,27.857143,332.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,376.0,14.0,390.0,8192.0,946.0,15.0,20.0,59028.816,85272.09,316131.0,32973.0,9.978919e+06,60319.95,9.998312e+06,9.797085e+06,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
192.168.10.3-192.168.10.8-53-62575-17,192.168.10.8,62575.0,192.168.10.3,53.0,17.0,6/7/2017 2:23,5.608526e+07,4.0,4.0,138.0,396.0,42.0,27.0,34.5,8.6602545,155.0,43.0,99.0,64.66323,9.521218,0.14263996,8.01218e+06,2.12e+07,5.61e+07,1.0,5.61e+07,1.87e+07,3.24e+07,5.61e+07,3.0,5.61e+07,1.87e+07,3.24e+07,5.61e+07,1.0,0.0,0.0,0.0,0.0,80.0,104.0,0.07131998,0.07131998,27.0,155.0,64.0,52.002403,2704.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,34.5,99.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,138.0,4.0,396.0,-1.0,-1.0,3.0,20.0,24103.0,0.0,24103.0,24103.0,5.61e+07,0.0,5.61e+07,5.61e+07,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
192.168.10.8-23.63.226.105-54008-80-6,192.168.10.8,54008.0,23.63.226.105,80.0,6.0,6/7/2017 2:23,9.0082504e+07,5.0,3.0,161.0,911.0,143.0,0.0,32.2,61.99355,905.0,0.0,303.66666,520.77856,11.900202,0.08880748,1.29e+07,3.39e+07,8.98e+07,47.0,9.01e+07,2.25e+07,4.49e+07,8.98e+07,47.0,39040.0,19520.0,27058.148,38653.0,387.0,0.0,0.0,0.0,0.0,112.0,72.0,0.055504672,0.033302803,0.0,905.0,119.111115,298.3142,88991.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,32.2,303.66666,112.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,161.0,3.0,911.0,8192.0,946.0,4.0,20.0,268944.0,0.0,268944.0,268944.0,8.98e+07,0.0,8.98e+07,8.98e+07,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
192.168.10.8-52.84.26.77-53992-443-6,192.168.10.8,53992.0,52.84.26.77,443.0,6.0,6/7/2017 2:23,5.9349636e+07,25.0,11.0,655.0,506.0,46.0,6.0,26.2,20.024984,46.0,46.0,46.0,0.0,19.56204,0.6065749,1.6957039e+06,2.4018372e+06,5.803342e+06,49.0,5.93e+07,2.4729015e+06,2.5549635e+06,5.803342e+06,49.0,5.41e+07,5.4115795e+06,466440.16,6.021236e+06,5.038411e+06,1.0,0.0,0.0,0.0,500.0,220.0,0.42123258,0.18534234,6.0,46.0,32.62162,18.858171,355.63065,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.52778,26.2,46.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,655.0,11.0,506.0,254.0,123.0,24.0,20.0,6.2901505e+06,9.022099e+06,2.04e+07,218204.0,5.5797355e+06,337424.28,5.803342e+06,5.00459e+06,BENIGN,cicids2017-thursday,2017-07-06 14:23:00+00:00,cicids2017
192.168.10.3-192.168.10.8-445-54009-6,192.168.10.8,54009.0,192.168.10.3,445.0,6.0,6/7/2017 2:24,2.747012e+07,28.0,22.0,7826.0,2108.0,2954.0,0.0,279.5,642.2531,260.0,0.0,95.818184,82.3972,361.62927,1.8201594,560614.7,2.6760272e+06,1.36e+07,2.0,2.75e+07,1.0174119e+06,3.569021e+06,1.36e+07,3.0,2.75e+07,1.3080939e+06,4.0868345e+06,1.38e+07,2.0,0.0,0.0,0.0,0.0,584.0,464.0,1.0192893,0.8008702,0.0,2954.0,194.78432,484.4408,234682.89,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.68,279.5,95.818184,584.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7826.0,22.0,2108.0,8192.0,2050.0,26.0,20.0,338505.5,38912.793,366021.0,310990.0,1.34e+07,316042.1,1.36e+07,1.32e+07,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-53-52948-17,192.168.10.8,52948.0,192.168.10.3,53.0,17.0,6/7/2017 2:24,272.0,2.0,2.0,102.0,202.0,51.0,51.0,51.0,0.0,101.0,101.0,101.0,0.0,1.117647e+06,14705.883,90.666664,150.11107,264.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,40.0,40.0,7352.9414,7352.9414,51.0,101.0,71.0,27.386127,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.75,51.0,101.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,202.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
